Country,Index Year,Overall Score
Brunei Darussalam,2023,65.7
Brunei Darussalam,2022,64.8
Brunei Darussalam,2021,66.6
Brunei Darussalam,2020,66.6
Brunei Darussalam,2019,65.1
Brunei Darussalam,2018,64.2
Brunei Darussalam,2017,69.8
Brunei Darussalam,2016,67.3
Brunei Darussalam,2015,68.9
Brunei Darussalam,2014,69
Burma,2023,46.5
Burma,2022,49.6
Burma,2021,55.2
Burma,2020,54
Burma,2019,53.6
Burma,2018,53.9
Burma,2017,52.5
Burma,2016,48.7
Burma,2015,46.9
Burma,2014,46.5
Burma,2013,39.2
Burma,2012,38.7
Burma,2011,37.8
Burma,2010,36.7
Cambodia,2023,56.5
Cambodia,2022,57.1
Cambodia,2021,57.3
Cambodia,2020,57.3
Cambodia,2019,57.8
Cambodia,2018,58.7
Cambodia,2017,59.5
Cambodia,2016,57.9
Cambodia,2015,57.5
Cambodia,2014,57.4
Cambodia,2013,58.5
Cambodia,2012,57.6
Cambodia,2011,57.9
Cambodia,2010,56.6
Indonesia,2023,63.5
Indonesia,2022,64.4
Indonesia,2021,66.9
Indonesia,2020,67.2
Indonesia,2019,65.8
Indonesia,2018,64.2
Indonesia,2017,61.9
Indonesia,2016,59.4
Indonesia,2015,58.1
Indonesia,2014,58.5
Indonesia,2013,56.9
Indonesia,2012,56.4
Indonesia,2011,56
Indonesia,2010,55.5
Laos,2023,50.3
Laos,2022,49.2
Laos,2021,53.9
Laos,2020,55.5
Laos,2019,57.4
Laos,2018,53.6
Laos,2017,54
Laos,2016,49.8
Laos,2015,51.4
Laos,2014,51.2
Laos,2013,50.1
Laos,2012,50
Laos,2011,51.3
Laos,2010,51.1
Malaysia,2023,67.3
Malaysia,2022,68.1
Malaysia,2021,74.4
Malaysia,2020,74.7
Malaysia,2019,74
Malaysia,2018,74.5
Malaysia,2017,73.8
Malaysia,2016,71.5
Malaysia,2015,70.8
Malaysia,2014,69.6
Malaysia,2013,66.1
Malaysia,2012,66.4
Malaysia,2011,66.3
Malaysia,2010,64.8
Singapore,2023,83.9
Singapore,2022,84.4
Singapore,2021,89.7
Singapore,2020,89.4
Singapore,2019,89.4
Singapore,2018,88.8
Singapore,2017,88.6
Singapore,2016,87.8
Singapore,2015,89.4
Singapore,2014,89.4
Singapore,2013,88
Singapore,2012,87.5
Singapore,2011,87.2
Singapore,2010,86.1
Thailand,2023,60.6
Thailand,2022,63.2
Thailand,2021,69.7
Thailand,2020,69.4
Thailand,2019,68.3
Thailand,2018,67.1
Thailand,2017,66.2
Thailand,2016,63.9
Thailand,2015,62.4
Thailand,2014,63.3
Thailand,2013,64.1
Thailand,2012,64.9
Thailand,2011,64.7
Thailand,2010,64.1
The Philippines,2023,59.3
The Philippines,2022,61.1
The Philippines,2021,64.1
The Philippines,2020,64.5
The Philippines,2019,63.8
The Philippines,2018,65
The Philippines,2017,65.6
The Philippines,2016,63.1
The Philippines,2015,62.2
The Philippines,2014,60.1
The Philippines,2013,58.2
The Philippines,2012,57.1
The Philippines,2011,56.2
The Philippines,2010,56.3
Vietnam,2023,61.8
Vietnam,2022,60.6
Vietnam,2021,61.7
Vietnam,2020,58.8
Vietnam,2019,55.3
Vietnam,2018,53.1
Vietnam,2017,52.4
Vietnam,2016,54
Vietnam,2015,51.7
Vietnam,2014,50.8
Vietnam,2013,51
Vietnam,2012,51.3
Vietnam,2011,51.6
Vietnam,2010,49.8
