Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,11.546062,12.36644833,10.07606346,10.74966244,10.7994982,12.46882309,12.71382235,12.39482333,11.35816806,11.37203709,,,,,
Africa Eastern and Southern,27.6421591,28.77471275,28.55661384,27.84308599,27.1844254,25.21609976,25.03128315,26.28548399,27.85973207,26.42175127,25.43423525,26.0752669,26.92191859,25.12789655,
Afghanistan,21.1514207,22.74025248,21.15780715,20.44460531,21.22966322,22.12404249,10.46680769,10.051874,13.38724696,14.05811237,12.9525996,14.27365702,16.05036772,13.52310327,
Africa Western and Central,27.14270391,30.11515439,29.49023863,28.55248693,27.17058644,22.90852052,21.40611114,24.28211883,26.68109892,27.54074169,27.25613122,29.53828474,30.33562741,30.15244978,
Angola,52.36843758,56.02651389,56.91821896,53.36285218,46.20332557,41.93309219,42.64356787,42.16795377,47.93154185,49.76092161,45.67824234,47.52440955,45.1800529,45.26291872,
Albania,24.93746193,24.48447822,22.91855334,23.06131685,21.50884574,21.763681,21.14196535,20.35840836,23.75358622,22.96553064,23.46871642,22.43411512,23.02505758,23.0184725,
Andorra,13.12564606,11.90885311,11.07157967,10.61824715,10.1535313,9.981268716,10.14077941,10.39551767,11.07633372,11.69981763,12.66015827,12.36263639,11.1453411,12.42822618,
Arab World,50.23253183,53.61344131,54.3957577,52.23548136,49.73037364,40.56329062,38.24858237,40.90735629,44.67254766,42.62135491,36.7969027,42.33187673,48.72369235,43.53402918,
United Arab Emirates,51.67845948,57.07712067,56.56806174,54.20381498,51.98971367,43.35424493,41.02857173,42.52803477,46.91895759,44.52451604,42.17404307,47.13932402,51.08332896,47.72364183,
Argentina,25.25877626,25.21269761,24.42905706,24.00588144,24.27739449,23.15305614,22.05410721,21.78212322,23.71959233,23.15784774,22.40887637,23.49946443,24.00755278,25.05638161,
Armenia,,,27.82709461,26.70904814,25.27053295,25.70869944,25.57713304,25.80953238,24.75655785,24.97160846,26.8172957,26.36434041,25.43709664,23.37453924,
American Samoa,,,,,,,,,,,,,,,
Antigua and Barbuda,14.83900048,14.45307419,14.01963055,14.76031464,15.36541995,15.92502718,17.7630483,18.84903885,20.6520988,21.09392609,21.13358623,20.4929123,19.47359445,19.43515875,
Australia,25.17307843,26.52184365,26.37902152,25.18645053,25.56515748,23.6809068,22.31997558,23.47406061,24.12405777,25.2720792,25.38645572,25.42086525,27.48251427,27.65088239,
Austria,26.03964197,25.8570854,26.00980494,25.96977309,25.7857017,25.51524022,25.91246918,25.8023213,25.71909264,25.5363771,25.65448678,25.72803214,25.20554006,25.24461584,
Azerbaijan,59.7713411,61.73284436,59.45579126,57.05441545,53.58685467,44.89132034,47.55780701,49.7017251,52.25053688,48.82363284,41.95632016,48.81817362,56.14673736,46.63173598,
Burundi,15.38615628,14.80968132,15.75081302,15.58480051,15.49821159,11.76642869,12.20736309,10.99313081,11.10721703,10.93598,10.74295,10.59939,10.63778814,9.587041966,
Belgium,20.6595926,20.75145995,19.99564875,19.91519357,19.61905707,19.47677469,19.09810578,19.15456041,18.96412515,19.24171057,19.08117052,17.99749498,19.51856076,18.53201114,
Benin,18.00905314,18.13744911,16.95668469,17.24370929,16.41157749,16.38509544,15.70206831,15.10758585,14.64195675,16.3125612,16.29054905,16.46740038,17.01771681,17.30191927,
Burkina Faso,26.05555203,28.37227091,26.86751038,24.09575158,24.92953925,24.36137578,24.88151737,25.15001589,25.58944338,27.42591338,29.46947678,28.5306243,28.73548466,29.25074388,
Bangladesh,24.95647673,25.0452996,25.30995939,26.30707016,26.31104678,26.83139483,31.06915138,31.24829196,31.98281359,32.8525492,32.91156508,33.31609439,33.9200805,34.59427216,
Bulgaria,23.75417724,25.03010121,25.3837647,23.50748126,23.44430188,24.03013949,24.4597737,23.98929513,22.18714704,21.52278598,21.82357861,20.74039058,25.30279143,22.6590549,
Bahrain,43.92685819,48.29479584,46.33973028,46.69712846,45.31357676,39.09079907,38.20333986,39.9934663,41.47588718,40.61776696,39.10010798,44.21643249,46.85334806,44.03409206,
