country,year,inward_fdi,export,import,gdp,unemployment_rate,population,industry,econ_freedom
 Brunei Darussalam,2010,625.4,8837178813,2436976676,13707121031,6.455,392332,68.65335068,
 Brunei Darussalam,2011,1208.3,12440507595,2942794311,18524791071,6.442,399389,73.67241439,
 Brunei Darussalam,2012,864.8,13180600609,3674064918,19048443340,6.482,405557,72.6556143,
 Brunei Darussalam,2013,725.5,11445574183,3611831136,18094148099,6.655,411202,70.02244393,
 Brunei Darussalam,2014,568.2,10584141314,3596559222,17097797372,6.862,416750,67.84963064,69
 Brunei Darussalam,2015,171.3,6353924085,3238238233,12930296852,7.726,422212,61.36277769,68.9
 Brunei Darussalam,2016,-150.4,6024104731,2670234410,11400266055,8.574,427564,57.28936408,67.3
 Brunei Darussalam,2017,460.1,5588261658,3088022852,12128168047,9.316,432772,59.72058921,69.8
 Brunei Darussalam,2018,517.3,6571371352,4157391401,13566908401,8.7,437810,63.24481837,64.2
 Brunei Darussalam,2019,374.6,7039084880,5102696998,13469235348,6.6,442680,62.5153214,65.1
 Brunei Darussalam,2020,577.4,6607738114,5343170558,12005799664,7.409,447404,59.13363013,66.6
 Brunei Darussalam,2021,204.8,11456382916,7229662222,14006496614,4.905,451721,62.70156408,66.6
 Brunei Darussalam,2022,-284.4,14007271785,9333156990,16681536443,5.191,455370,67.92558548,64.8
 Brunei Darussalam,2023,-56.9,10794808975,7310656668,15128292981,5.183,458949,61.80076976,65.7
 Cambodia,2010,782.6,3825902657,4775283267,13808673288,0.771,14500726,26.00889851,56.6
 Cambodia,2011,891.7,5121058660,6099428180,16032622024,0.577,14722584,26.66069267,57.9
 Cambodia,2012,1557.1,5330545902,7466600654,17826536700,0.496,14945085,27.61102977,57.6
 Cambodia,2013,1274.9,6665865414,8211596311,19807135253,0.438,15170208,28.9581198,58.5
 Cambodia,2014,1726.5,6748663680,9659414711,22041463968,0.692,15396772,29.91699165,57.4
 Cambodia,2015,1701,8557668794,11797338385,24174170369,0.393,15623251,31.46390517,57.5
 Cambodia,2016,2475.9,10073044058,12370888411,26556545153,0.716,15852803,33.05620946,57.9
 Cambodia,2017,2788.1,11278127964,14284537081,29355665910,0.141,16073372,34.29808092,59.5
 Cambodia,2018,3212.6,12700279676,17490016367,33145892169,0.13,16274522,36.87142375,58.7
 Cambodia,2019,3663,14844775836,19735382931,36685356408,0.119,16481304,39.04559465,57.8
 Cambodia,2020,3624.6,17412052058,18968043201,34818073901,0.172,16725474,37.45761228,57.3
 Cambodia,2021,3483.5,16949623220,25490548377,36790163687,0.396,16974305,40.32050857,57.3
 Cambodia,2022,3578.8,20750452545,29997776208,39994532960,0.231,17201724,40.86496262,57.1
 Cambodia,2023,3958.8,21676660006,24410869146,42335646896,0.225,17423880,40.51737416,56.5
 Indonesia,2010,13770.2,1.58E+11,1.36E+11,7.55E+11,5.614,246305322,42.77586634,55.5
 Indonesia,2011,19241.6,2.03E+11,1.77E+11,8.93E+11,5.153,249470032,43.91342343,56
